admin4pcode,month,beneficiaries,cluster
C1444,feb,1975,WASH
C1445,feb,313,WASH
C1449,feb,1902,WASH
C1449,jan,306,WASH
C1452,jan,0,WASH
C1484,feb,1598,WASH
C1484,jan,1598,WASH
C1491,feb,101,WASH
C1491,jan,101,WASH
C1497,feb,1210,WASH
C1497,jan,786,WASH
C1498,feb,2087,WASH
C1498,jan,1667,WASH
C1515,feb,1258,WASH
C1515,jan,1258,WASH
C1518,feb,3653,WASH
C1518,jan,3653,WASH
C1519,feb,221,WASH
C1519,jan,221,WASH
C1520,feb,3092,WASH
C1520,jan,3092,WASH
C1521,feb,1291,WASH
C1521,jan,1291,WASH
C1524,feb,3008,WASH
C1524,jan,3008,WASH
C1547,feb,1557,WASH
C1547,jan,1557,WASH
C1552,feb,1739,WASH
C1552,jan,1473,WASH
C1557,feb,49982,WASH
C1557,jan,5000,WASH
C1558,jan,1235,WASH
C1559,feb,76,WASH
C1559,jan,6128,WASH
C1561,feb,7772,WASH
C1561,jan,23976,WASH
C1564,feb,9087,WASH
C1564,jan,13539,WASH
C1566,feb,2701,WASH
C1566,jan,14060,WASH
C1568,feb,197,WASH
C1571,feb,0,WASH
C1572,feb,1740,WASH
C1572,jan,274,WASH
C1573,feb,4358,WASH
C1573,jan,4358,WASH
C1574,feb,8083,WASH
C1575,jan,0,WASH
C1576,jan,0,WASH
C1577,feb,1079,WASH
C1577,jan,1079,WASH
C1579,feb,0,WASH
C1579,jan,0,WASH
C1581,feb,0,WASH
C1582,feb,0,WASH
C1582,jan,0,WASH
C1588,feb,0,WASH
C1588,jan,0,WASH
C1591,feb,4348,WASH
C1591,jan,0,WASH
C1595,feb,0,WASH
C1597,feb,4188,WASH
C1597,jan,1530,WASH
C1600,feb,0,WASH
C1600,jan,0,WASH
C1605,feb,3416,WASH
C1605,jan,0,WASH
C1609,feb,743,WASH
C1615,feb,715,WASH
C1632,feb,429,WASH
C1642,feb,0,WASH
C1643,feb,2152,WASH
C1643,jan,0,WASH
C1658,feb,2500,WASH
C1658,jan,0,WASH
C1664,jan,0,WASH
C1667,feb,11313,WASH
C1667,jan,10762,WASH
C1671,feb,5221,WASH
C1672,feb,2767,WASH
C2213,feb,685,WASH
C2213,jan,685,WASH
C2215,jan,0,WASH
C2216,jan,0,WASH
C2219,jan,0,WASH
C2220,feb,2117,WASH
C2220,jan,5449,WASH
C2222,jan,0,WASH
C2224,feb,0,WASH
C2225,jan,640,WASH
C2227,feb,10622,WASH
C2227,jan,5296,WASH
C2238,feb,2773,WASH
C2238,jan,3066,WASH
C2250,feb,5481,WASH
C2250,jan,5481,WASH
C2254,feb,663,WASH
C2254,jan,663,WASH
C2262,jan,0,WASH
C2263,feb,730,WASH
C2263,jan,730,WASH
C2268,feb,869,WASH
C2268,jan,869,WASH
C3170,feb,0,WASH
C3867,jan,0,WASH
C3871,feb,4262,WASH
C3871,jan,5899,WASH
C3872,feb,0,WASH
C3872,jan,0,WASH
C3873,feb,0,WASH
C3873,jan,894,WASH
C3875,feb,1284,WASH
C3875,jan,1110,WASH
C3876,feb,0,WASH
C3878,feb,0,WASH
C3879,jan,1103,WASH
C3904,feb,0,WASH
C3904,jan,0,WASH
C3905,feb,647,WASH
C3905,jan,660,WASH
C3906,feb,1411,WASH
C3906,jan,980,WASH
C3932,feb,0,WASH
C3932,jan,0,WASH
C3934,feb,0,WASH
C3937,feb,1683,WASH
C3937,jan,1521,WASH
C3938,feb,1390,WASH
C3938,jan,3132,WASH
C3939,feb,4672,WASH
C3939,jan,3120,WASH
C3940,feb,823,WASH
C3940,jan,823,WASH
C3941,feb,0,WASH
C3941,jan,0,WASH
C3942,feb,16656,WASH
C3942,jan,8203,WASH
C3943,feb,18597,WASH
C3943,jan,20119,WASH
C3944,feb,4660,WASH
C3944,jan,4607,WASH
C3945,feb,9267,WASH
C3945,jan,8578,WASH
C3946,feb,985,WASH
C3946,jan,985,WASH
C3947,feb,1761,WASH
C3947,jan,5186,WASH
C3948,feb,798,WASH
C3948,jan,798,WASH
C3949,feb,58605,WASH
C3949,jan,40843,WASH
C3950,feb,2332,WASH
C3950,jan,2960,WASH
C3951,feb,4227,WASH
C3951,jan,3703,WASH
C3952,feb,0,WASH
C3953,feb,0,WASH
C3953,jan,0,WASH
C4114,feb,125,WASH
C4114,jan,125,WASH
C4115,feb,12371,WASH
C4115,jan,10445,WASH
C4116,feb,317,WASH
C4116,jan,150,WASH
C4117,feb,1949,WASH
C4117,jan,1590,WASH
C4120,feb,21028,WASH
C4120,jan,3260,WASH
C4121,feb,30863,WASH
C4121,jan,30460,WASH
C4122,feb,14536,WASH
C4122,jan,6616,WASH
C4123,feb,1671,WASH
C4123,jan,759,WASH
C4124,feb,6944,WASH
C4124,jan,4180,WASH
C4125,feb,3024,WASH
C4125,jan,950,WASH
C4126,feb,11156,WASH
C4126,jan,6577,WASH
C4127,feb,4734,WASH
C4127,jan,6917,WASH
C4129,feb,172059,WASH
C4129,jan,30785,WASH
C4130,feb,230315,WASH
C4130,jan,16954,WASH
C4131,feb,4171,WASH
C4131,jan,10154,WASH
C4132,feb,6489,WASH
C4132,jan,9078,WASH
C4133,feb,2578,WASH
C4133,jan,2578,WASH
C4134,feb,149,WASH
C4134,jan,149,WASH
C4135,feb,0,WASH
C4136,feb,874,WASH
C4136,jan,874,WASH
C4137,feb,850,WASH
C4137,jan,850,WASH
C4138,feb,0,WASH
C4138,jan,123,WASH
C4139,jan,465,WASH
C4140,feb,4539,WASH
C4140,jan,3864,WASH
C4141,feb,10295,WASH
C4141,jan,10214,WASH
C4142,feb,260,WASH
C4142,jan,533,WASH
C4143,feb,2764,WASH
C4143,jan,3729,WASH
C4145,feb,501,WASH
C4145,jan,2548,WASH
C4146,feb,2100,WASH
C4146,jan,2517,WASH
C4147,feb,642,WASH
C4147,jan,642,WASH
C4148,feb,288,WASH
C4148,jan,772,WASH
C4149,feb,0,WASH
C4149,jan,407,WASH
C4151,feb,798,WASH
C4151,jan,798,WASH
C4152,feb,37,WASH
C4156,feb,29,WASH
C4157,feb,1989,WASH
C4157,jan,985,WASH
C4160,feb,0,WASH
C4161,feb,1100,WASH
C4161,jan,850,WASH
C4164,feb,5001,WASH
C4164,jan,5386,WASH
C4165,feb,0,WASH
C4165,jan,0,WASH
C4166,feb,0,WASH
C4167,feb,0,WASH
C4167,jan,0,WASH
C4168,feb,247,WASH
C4168,jan,247,WASH
C4169,feb,1256,WASH
C4169,jan,1166,WASH
C4170,feb,3213,WASH
C4170,jan,3213,WASH
C4171,feb,0,WASH
C4171,jan,0,WASH
C4172,feb,6055,WASH
C4172,jan,5862,WASH
C4173,feb,968,WASH
C4173,jan,1008,WASH
C4174,feb,2313,WASH
C4174,jan,2397,WASH
C4175,feb,630,WASH
C4175,jan,630,WASH
C4176,feb,3803,WASH
C4176,jan,3447,WASH
C4178,feb,884,WASH
C4178,jan,721,WASH
C4179,feb,450,WASH
C4179,jan,450,WASH
C4180,feb,1559,WASH
C4180,jan,1454,WASH
C4181,feb,300,WASH
C4181,jan,387,WASH
C4183,feb,257,WASH
C4183,jan,296,WASH
C4184,feb,0,WASH
C4185,feb,173,WASH
C4185,jan,173,WASH
C4190,feb,0,WASH
C4191,feb,0,WASH
C4197,feb,0,WASH
C4212,feb,0,WASH
C4222,feb,0,WASH
C4222,jan,0,WASH
C4226,jan,0,WASH
C4231,feb,539,WASH
C4231,jan,1615,WASH
C4234,jan,379,WASH
C4236,jan,207,WASH
C4238,feb,951,WASH
C4238,jan,2259,WASH
C4240,feb,0,WASH
C4240,jan,1718,WASH
C4241,feb,0,WASH
C4241,jan,0,WASH
C4242,feb,0,WASH
C4242,jan,0,WASH
C4243,feb,0,WASH
C4243,jan,356,WASH
C4245,feb,0,WASH
C4246,feb,135,WASH
C4246,jan,425,WASH
C4247,feb,435,WASH
C4247,jan,435,WASH
C4248,jan,168,WASH
C4249,feb,0,WASH
C4249,jan,391,WASH
C4250,feb,0,WASH
C4250,jan,283,WASH
C4252,feb,0,WASH
C4252,jan,1422,WASH
C4253,feb,0,WASH
C4254,jan,636,WASH
C4255,jan,0,WASH
C4256,feb,0,WASH
C4256,jan,0,WASH
C4257,feb,0,WASH
C4258,feb,0,WASH
C4258,jan,0,WASH
C4259,feb,0,WASH
C4259,jan,0,WASH
C4260,feb,1951,WASH
C4260,jan,1951,WASH
C4265,feb,0,WASH
C4265,jan,0,WASH
C4267,feb,1291,WASH
C4267,jan,2188,WASH
C4269,feb,546,WASH
C4269,jan,546,WASH
C4278,feb,1832,WASH
C4278,jan,684,WASH
C4281,feb,310,WASH
C4283,feb,446,WASH
C4286,jan,0,WASH
C4290,jan,0,WASH
C4294,feb,0,WASH
C4294,jan,0,WASH
C4295,feb,0,WASH
C4295,jan,0,WASH
C4312,feb,896,WASH
C4312,jan,957,WASH
C4313,feb,0,WASH
C4313,jan,0,WASH
C4321,feb,0,WASH
C4322,jan,0,WASH
C4326,feb,0,WASH
C4330,feb,0,WASH
C4330,jan,0,WASH
C5002,feb,0,WASH
C5002,jan,0,WASH
C5792,feb,0,WASH
C5843,feb,737,WASH
C5843,jan,713,WASH
C6334,feb,0,WASH
C6364,feb,0,WASH
C6389,feb,59846,WASH
C6389,jan,31891,WASH
C6398,feb,777,WASH
C6398,jan,659,WASH
C6399,feb,386,WASH
C6402,feb,208,WASH
C6402,jan,208,WASH
C6514,feb,0,WASH
C6616,feb,0,WASH
C6618,feb,0,WASH
C6619,feb,3182,WASH
C6619,jan,3182,WASH
C6621,feb,0,WASH
C6631,feb,6323,WASH
C6631,jan,4819,WASH
C6632,feb,3060,WASH
C6632,jan,3060,WASH
C6633,jan,0,WASH
C6640,feb,0,WASH
C6689,feb,0,WASH
C6692,feb,52744,WASH
C6692,jan,41065,WASH
C6693,feb,14125,WASH
C6693,jan,5776,WASH
C6694,feb,0,WASH
C6695,feb,0,WASH
C6696,feb,0,WASH
C6712,feb,324,WASH
C6715,jan,0,WASH
C6724,feb,1300,WASH
C6724,jan,1300,WASH
C6732,feb,438,WASH
C6732,jan,438,WASH
C6737,feb,677,WASH
C6737,jan,677,WASH
C6741,feb,176,WASH
C6741,jan,176,WASH
C6750,feb,160,WASH
C6750,jan,160,WASH
C6755,feb,17487,WASH
C6755,jan,16734,WASH
C6766,feb,372,WASH
C6766,jan,0,WASH
C7259,feb,0,WASH
C7407,jan,0,WASH
C7466,feb,1497,WASH
C7466,jan,1497,WASH
C7490,feb,331,WASH
C7509,feb,711,WASH
C7515,feb,442,WASH
C7515,jan,442,WASH
C7559,feb,0,WASH
C7567,jan,0,WASH
C7598,feb,1082,WASH
C7598,jan,1082,WASH
C7629,jan,0,WASH
C7665,jan,0,WASH
C7958,jan,0,WASH
C8014,feb,686,WASH
C8014,jan,686,WASH
C8116,feb,568,WASH
C8150,feb,478,WASH
C8150,jan,0,WASH
C8156,feb,387,WASH
C8160,feb,375,WASH
C8166,feb,529,WASH
C8184,feb,605,WASH
C8196,feb,4165,WASH
C8199,feb,343,WASH
C8209,feb,679,WASH
C8209,jan,1200,WASH
C8223,jan,0,WASH
C8265,feb,4625,WASH
C8265,jan,4625,WASH
C8338,feb,0,WASH
C8338,jan,263,WASH
C8339,feb,0,WASH
C1020,feb,270,Cash
C1021,mar,2515,Cash
C1022,apr,370,Cash
C1022,feb,8992,Cash
C1022,mar,402,Cash
C1023,mar,3684,Cash
C1025,apr,1277,Cash
C1025,feb,1987,Cash
C1026,apr,11,Cash
C1026,feb,5819,Cash
C1030,apr,3136,Cash
C1032,apr,109,Cash
C1032,feb,4805,Cash
C1035,apr,887,Cash
C1035,feb,3487,Cash
C1036,feb,3256,Cash
