district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Harim,Salqin,Azmarin,16355,NA,48211,3525,666,NA,48917,NA,NA,117674,13892,C4143
Harim,Qourqeena,Qourqeena,3581,22,53885,6807,110,NA,52244,NA,NA,116649,15120,C4174
Harim,Dana,Babisqa,404,33,90169,8912,1799,44,14314,NA,NA,115675,20714,C6755
A'zaz,A'zaz,Shmarekh,36,2,360,7354,196,12,103112,NA,NA,111072,23834,C1557
Harim,Dana,Qah,2033,155,65877,16414,9331,909,10644,4059,262,109422,176504,C4131
Harim,Salqin,Eskat,NA,15,2810,3093,295,NA,90944,NA,NA,97157,18913,C4145
Jebel Saman,Atareb,Babka,2515,26,48732,1750,30,4040,34475,NA,NA,91568,9086,C1021
Idleb,Maaret Tamsrin,Kafr Jales,55,51,25394,2012,21,3422,58982,NA,NA,89937,20831,C3945
Afrin,Sharan,Sharan (Sharan),2970,NA,79046,281,984,NA,2037,NA,NA,85318,5668,C1497
A'zaz,Suran,Kafra (Suran),NA,NA,67266,290,94,NA,17186,NA,NA,84836,6761,C1672
Idleb,Maaret Tamsrin,Hazano,2049,38,24505,2849,1042,40,48699,5047,NA,84269,22791,C3944
Idleb,Maaret Tamsrin,Kafr - Kafrehmul,NA,104,22571,3445,1678,11589,41694,NA,NA,81081,26633,C3942
Harim,Qourqeena,Ras Elhisn,NA,7,40549,2375,NA,1108,33108,3670,NA,80817,9761,C4167
Ariha,Mhambal,Mhambal,NA,NA,62681,13660,317,574,1500,NA,NA,78732,4734,C4330
Jisr-Ash-Shugur,Janudiyeh,Janudiyeh,NA,16,24919,4902,205,NA,45000,NA,NA,75042,15164,C4255
Harim,Dana,Burdaqly,3089,19,35915,9182,1054,1075,23012,NA,NA,73346,15875,C6693
Jebel Saman,Atareb,Atareb,10011,117,46647,12478,1703,NA,1239,NA,NA,72195,32930,C1022
Harim,Armanaz,Sheikh Yousef,NA,18,45641,1219,NA,NA,24712,NA,NA,71590,8464,C4179
Jebel Saman,Daret Azza,Daret Azza,11810,126,35902,5091,4924,NA,13316,NA,NA,71169,39110,C1139
A'zaz,Suran,Suran (Aleppo),519,3,43911,3311,1128,144,21041,NA,NA,70057,21121,C1664
A'zaz,Aghtrin,Akhtrein,120,8,48421,3807,492,NA,16500,NA,NA,69348,16500,C1581
Jisr-Ash-Shugur,Darkosh,Zarzur (Darkosh),114,6,43809,5988,787,1329,13958,NA,NA,65991,11255,C4238
Harim,Qourqeena,Kafr Aruq,718,47,13906,6727,86,NA,43699,NA,NA,65183,15337,C4172
Harim,Dana,Tal Elkarameh,2193,30,15967,5305,7617,35,33470,NA,NA,64617,39276,C4122
Al Bab,Ar-Ra'ee,Ar-Ra'ee,NA,NA,28989,NA,8,NA,34491,NA,NA,63488,5471,C1250
Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,2706,4,45726,3671,1480,7065,NA,NA,NA,60652,8248,C4263
Idleb,Bennsh,Bennsh,3750,86,17788,2284,1262,NA,34700,NA,NA,59870,31516,C3904
Idleb,Maaret Tamsrin,Shekh Bahr,2026,61,13841,10308,286,4520,19736,5158,NA,55936,12827,C6631
Afrin,Bulbul,Bulbul,1405,NA,51007,2896,NA,NA,NA,NA,NA,55308,7998,C1391
Jebel Saman,Atareb,Kafr Karmin,4374,100,20491,3195,NA,NA,25469,1542,90,55171,17380,C1035
Afrin,Jandairis,Kafr Safra,1245,NA,31513,615,NA,NA,21597,NA,NA,54970,5186,C1449
Harim,Dana,Tilaada,2200,26,13043,2181,1585,NA,31704,NA,NA,50739,36604,C4124
A'zaz,A'zaz,Talil Elsham,NA,2,20262,41,663,NA,28256,NA,NA,49224,2599,C1559
Harim,Dana,Hezreh - Hezri,NA,64,17933,3183,NA,8,27368,NA,NA,48556,21554,C4120
Idleb,Maaret Tamsrin,Zardana Mashehad,3488,33,14878,739,943,2545,22666,NA,NA,45292,13608,C3938
Jebel Saman,Atareb,Batbu,3264,188,13467,NA,755,322,26141,NA,NA,44137,24581,C1025
Afrin,Sharan,Qatmet Efrin,3669,6,26908,1134,1335,131,7740,NA,NA,40923,5230,C1524
Jebel Saman,Atareb,Abin Samaan,5830,57,NA,6988,5,NA,27057,NA,NA,39937,20148,C1026
Harim,Qourqeena,Barisha,2118,3,20630,2691,905,12,13041,NA,NA,39400,12893,C4164
A'zaz,Mare',Tlaline,NA,NA,28260,NA,NA,67,10021,NA,NA,38348,5200,C1632
Harim,Armanaz,Milis,3636,16,1753,1,687,NA,31024,NA,NA,37117,9192,C4184
Harim,Dana,Kafr Deryan,181,73,16868,3359,41,11,14084,NA,NA,34617,25586,C4132
A'zaz,Aghtrin,Turkman Bareh,12,0,5640,3322,501,NA,25123,NA,NA,34598,8282,C1605
Idleb,Bennsh,Toum,1160,14,2408,0,300,NA,30334,NA,NA,34216,6402,C3906
Idleb,Idleb,Mastumeh,NA,6,4217,0,NA,NA,28560,NA,NA,32783,5942,C3872
Harim,Dana,Aqrabat (Dana),539,44,5611,9867,2886,6,11198,2488,122,32639,15246,C4127
Afrin,Raju,Raju,149,5,24987,3650,NA,NA,3750,NA,NA,32541,8482,C1484
A'zaz,A'zaz,Maarin (A'zaz),NA,4,8118,NA,408,7619,16166,NA,NA,32315,7214,C1574
Idleb,Maaret Tamsrin,Kaftin,348,28,2245,3362,70,14,24155,1859,NA,32081,10972,C3951
Afrin,Ma'btali,Ma'btali,550,2,23766,686,60,NA,6616,NA,NA,31680,4658,C1552
Jarablus,Jarablus,Zoghra,NA,14,7310,3135,44,NA,20816,NA,NA,31319,11446,C2220
Jebel Saman,Atareb,Tuwama,270,46,8372,580,3014,34,18989,NA,NA,31305,21115,C1020
Harim,Harim,Besnaya - Bseineh,1844,8,6275,NA,294,NA,19938,NA,NA,28359,5739,C4116
Harim,Salqin,Tlul,2940,NA,5299,1605,270,NA,17625,NA,NA,27739,6288,C4137
Jisr-Ash-Shugur,Janudiyeh,Hamama - Kafr Debbin,1725,17,3256,3774,NA,1774,17179,NA,NA,27725,13452,C4267
Jarablus,Jarablus,Jubb Al-Kusa,NA,NA,6184,2870,NA,NA,18630,NA,NA,27684,5067,C8265
Idleb,Maaret Tamsrin,Batenta,532,61,5335,40,466,NA,21188,NA,NA,27622,6242,C3939
Afrin,Jandairis,Jalma (Jandairis),NA,NA,15860,1231,21,NA,9822,NA,NA,26934,13499,C1424
Idleb,Maaret Tamsrin,Maaret Elekhwan,3440,40,6097,1371,343,NA,15527,NA,NA,26818,13262,C3950
Ariha,Ariha,Motaram,NA,6,3783,596,24,NA,22400,NA,NA,26809,6020,C4290
Idleb,Teftnaz,Teftnaz,2500,19,4379,2204,240,NA,17411,NA,NA,26753,12917,C3932
Jisr-Ash-Shugur,Darkosh,Ghazala - Mgheidleh,485,5,3998,904,NA,NA,21347,NA,NA,26739,3729,C4240
Jarablus,Ghandorah,Ghandorah,NA,0,15087,4868,NA,NA,6645,NA,200,26600,6577,C2250
A'zaz,A'zaz,Kaljibrin,NA,NA,13185,214,16,NA,13000,NA,100,26415,13000,C1575
Ariha,Ariha,Orm Eljoz,NA,30,5200,2487,36,299,18327,NA,NA,26379,5909,C4269
Harim,Salqin,Big Hir Jamus,3030,38,12240,205,NA,4,10716,NA,NA,26233,19814,C4141
Harim,Qourqeena,Meraf Elshalaf,NA,NA,42,NA,NA,NA,26141,NA,NA,26183,7150,C4171
Jisr-Ash-Shugur,Badama,Hanbushiyeh,586,NA,20647,218,NA,3368,NA,NA,NA,24819,5401,C4228
Harim,Salqin,Tellemar,2077,NA,1479,NA,NA,NA,20972,NA,NA,24528,5586,C4148
Idleb,Bennsh,Foah,1485,19,11252,89,682,422,10335,NA,NA,24284,20420,C3905
Harim,Armanaz,Biret Armanaz,1765,22,490,731,959,NA,19790,NA,NA,23757,6063,C4180
Afrin,Jandairis,Deir Ballut,210,NA,2290,137,17,NA,20610,NA,NA,23264,6916,C1435
Harim,Dana,Termanin,3137,85,11715,2742,706,NA,4736,NA,NA,23121,27905,C4125
Idleb,Maaret Tamsrin,Kafraya (Maaret Tamsrin),NA,0,5238,4,NA,NA,17799,NA,NA,23041,5094,C3952
Afrin,Sharan,Qastal Jend,550,NA,12130,NA,NA,NA,9395,NA,NA,22075,2558,C1521
Jarablus,Jarablus,Marma Elhajar,NA,0,13326,966,NA,2181,5566,NA,30,22039,4050,C2238
Afrin,Afrin,Abin - Efrin,NA,NA,21297,NA,NA,NA,NA,NA,NA,21297,2014,C1353
A'zaz,Aghtrin,Dabeq,NA,2,4120,446,46,NA,16496,NA,NA,21110,8502,C1597
Jebel Saman,Atareb,Jeineh,4914,65,7458,3163,48,NA,5000,NA,NA,20648,8298,C1032
Al Bab,Al Bab,Shbiran,NA,NA,5007,NA,1,NA,15288,NA,NA,20296,4332,C8196
Idleb,Maaret Tamsrin,Ram Hamdan,NA,25,3045,261,792,NA,15754,NA,NA,19877,8227,C3941
Jisr-Ash-Shugur,Badama,Ein El-Bayda (Badama),45,NA,17546,652,NA,1613,NA,NA,NA,19856,3327,C4229
Harim,Salqin,Abu Talha,1486,0,145,809,NA,5,17076,NA,NA,19521,6690,C4133
A'zaz,Suran,Albil,NA,NA,19431,NA,NA,NA,NA,NA,NA,19431,5581,C1669
Jisr-Ash-Shugur,Darkosh,Dorriyeh,492,5,9127,1928,596,2529,4386,298,NA,19361,4163,C4249
Harim,Armanaz,al-Baali'ah,NA,4,2872,2248,1029,NA,9996,2370,NA,18519,2191,C6724
Ariha,Mhambal,Kniseh (Mhambal),NA,4,NA,482,NA,NA,17899,NA,NA,18385,5932,C4313
Al Bab,Al Bab,Al Azraq,NA,NA,5375,448,86,NA,12295,NA,NA,18204,2055,C7466
Harim,Armanaz,Ghafar,41,4,2802,2,248,283,14077,NA,NA,17457,3992,C4175
Idleb,Idleb,Sijer - Bqesemtoh,323,4,1622,NA,326,NA,15043,NA,NA,17318,3546,C3873
Harim,Qourqeena,Radwa,NA,10,NA,283,43,NA,16682,NA,NA,17018,5342,C4169
Al Bab,Al Bab,Sosyan,NA,NA,16669,331,1,NA,NA,NA,NA,17001,2579,C1187
Idleb,Idleb,Qminas,NA,7,3883,NA,NA,NA,12768,NA,NA,16658,4576,C3876
Harim,Salqin,Faroukiyeh,2709,10,4638,2714,216,NA,6270,NA,NA,16557,4367,C6619
Ariha,Mhambal,Ora Qabli - Edwan,1429,NA,1270,389,NA,NA,13227,NA,NA,16315,6835,C4312
Idleb,Maaret Tamsrin,Habat,303,NA,2455,124,NA,3378,9255,NA,NA,15515,2790,C6632
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Balmis,193,2,NA,914,NA,NA,14049,NA,NA,15158,3547,C4191
Ariha,Ehsem,Ehsem,110,2,12135,70,23,NA,2763,NA,NA,15103,3132,C4295
Idleb,Teftnaz,Shallakh,NA,3,1663,1380,NA,NA,12015,NA,NA,15061,4216,C3934
Jebel Saman,Atareb,Kafr Naseh Elatareb,3256,58,7886,2863,245,NA,680,NA,NA,14988,9394,C1036
Jisr-Ash-Shugur,Darkosh,Zahraa - Kherbet Amud,NA,10,NA,853,522,NA,13515,NA,NA,14900,2888,C4250
A'zaz,Aghtrin,Arshaf,NA,0,NA,1543,4,NA,13353,NA,NA,14900,4512,C6334
Harim,Harim,Kafr Hum,NA,9,NA,33,480,1960,11493,755,NA,14730,6297,C4117
Jisr-Ash-Shugur,Janudiyeh,Maland,113,4,9655,283,40,142,4425,NA,NA,14662,4886,C4259
Idleb,Maaret Tamsrin,Bhora,41,26,3947,5339,36,NA,4984,NA,NA,14373,3149,C3937
Idleb,Sarmin,Sarmin,NA,10,7690,1848,26,NA,4620,NA,NA,14194,17786,C3953
Al Bab,Al Bab,Su Sinbat,NA,2,5621,134,NA,NA,8406,NA,NA,14163,4455,C1190
Harim,Armanaz,Kabta,1845,0,245,226,252,NA,11412,NA,NA,13980,3871,C4185
Jebel Saman,Daret Azza,Deir Samaan,1671,36,4355,2955,38,7,4607,NA,NA,13669,8290,C6766
Afrin,Sheikh El-Hadid,Sheikh El-Hadid,NA,NA,13640,NA,NA,NA,NA,NA,NA,13640,3740,C1525
A'zaz,Aghtrin,Dweidan,NA,0,1756,937,77,NA,10799,NA,NA,13569,3885,C1591
Harim,Qourqeena,Boz Ghaz,NA,NA,NA,512,NA,NA,12934,NA,NA,13446,5066,C4166
Harim,Qourqeena,Rabeeta,NA,0,NA,185,NA,NA,13073,NA,NA,13258,4441,C4168
Harim,Dana,Selwa,401,77,8330,NA,78,NA,4289,NA,NA,13175,30361,C4123
Harim,Salqin,Saidiyeh (Salqin),1069,8,410,NA,9,NA,11666,NA,NA,13162,4335,C4138
A'zaz,A'zaz,Tatiyeh,NA,NA,5137,34,124,NA,7820,NA,NA,13115,5938,C1558
A'zaz,A'zaz,Nayara,NA,NA,3768,NA,1,120,8947,NA,NA,12836,4641,C1573
Jisr-Ash-Shugur,Darkosh,Mazuleh,NA,2,NA,554,NA,NA,12196,NA,NA,12752,3478,C4243
Idleb,Idleb,Arshani,NA,5,1632,NA,30,NA,11074,NA,NA,12741,2444,C3875
Ariha,Ariha,Nahliya,NA,NA,5075,641,NA,NA,6832,NA,NA,12548,5171,C4286
A'zaz,Suran,Zayzafun - Ekdeh,NA,NA,4769,238,2,NA,7501,NA,NA,12510,5444,C1658
Ariha,Ariha,Korin,NA,26,9321,2307,745,NA,NA,NA,NA,12399,9368,C4288
Ariha,Ehsem,Rami (Ehsem),NA,10,5404,1152,21,NA,5754,NA,NA,12341,6079,C4294
Harim,Salqin,Kafr Hind,NA,12,591,447,273,NA,10984,NA,NA,12307,3768,C4151
Harim,Salqin,Ein Elbikara,1870,0,1005,NA,NA,16,9321,NA,NA,12212,3690,C4136
Afrin,Jandairis,Tal Slur,1082,NA,7805,226,NA,5,2950,NA,NA,12068,959,C1433
A'zaz,A'zaz,Bab Alsalameh,NA,26,3601,5377,284,2582,NA,NA,NA,11870,12959,C6669
Jisr-Ash-Shugur,Darkosh,Amud (Darkosh),NA,5,NA,804,237,NA,10496,NA,NA,11542,2508,C4245
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Areen - Kastanah Fawqan,264,NA,NA,395,NA,NA,10402,NA,NA,11061,1678,C6640
Harim,Armanaz,Kuwaro - Um Elriyah,1190,NA,924,143,NA,NA,8767,NA,NA,11024,2462,C4183
Harim,Qourqeena,Sardin,NA,0,4,NA,6,NA,11000,NA,NA,11010,4458,C4165
Al Bab,A'rima,Big Sukariyeh,NA,NA,10690,213,NA,NA,NA,NA,NA,10903,2466,C1339
Harim,Salqin,Delbiya,1557,0,2657,1061,NA,6,5572,NA,NA,10853,5538,C4146
Harim,Qourqeena,Koknaya,NA,12,2725,866,656,NA,6576,NA,NA,10835,1267,C6616
Idleb,Idleb,Martein,NA,4,1020,NA,NA,NA,9810,NA,NA,10834,3026,C3878
Harim,Salqin,Allani,4508,0,3187,609,7,NA,2466,NA,NA,10777,4690,C4142
Jebel Saman,Atareb,Maaret Atarib,2612,8,7563,251,302,NA,NA,NA,NA,10736,8257,C1038
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Kniset Nakhleh,455,4,NA,871,NA,NA,9356,NA,NA,10686,2554,C4222
Jebel Saman,Daret Azza,Zarzita,392,25,212,770,NA,NA,9143,NA,NA,10542,8076,C1138
Jebel Saman,Atareb,Abzemo,3136,54,245,1310,NA,NA,5350,NA,NA,10095,14962,C1030
Afrin,Jandairis,Hamam (Jandairis),NA,2,6975,231,1048,NA,1620,NA,NA,9876,810,C1427
A'zaz,Aghtrin,Baruz,NA,NA,170,NA,32,NA,9645,NA,NA,9847,1967,C1582
Harim,Qourqeena,Htan,NA,7,1334,404,NA,NA,8020,NA,NA,9765,5918,C4161
Idleb,Maaret Tamsrin,Kafr Nabi,NA,20,2794,907,349,809,2636,2200,NA,9715,3306,C3948
Jisr-Ash-Shugur,Darkosh,Ramadiyeh (Darkosh),755,10,940,510,NA,NA,7421,NA,NA,9636,977,C4242
Jisr-Ash-Shugur,Darkosh,Mreimin (Darkosh),17,17,1558,2551,NA,2520,774,2195,NA,9632,4729,C4254
Jisr-Ash-Shugur,Janudiyeh,Qanniyeh (Janudiyeh),843,2,2375,271,NA,NA,6080,NA,NA,9571,2780,C4260
Harim,Salqin,Kafarna,2744,NA,NA,NA,NA,NA,6815,NA,NA,9559,1223,C4149
Jisr-Ash-Shugur,Darkosh,Al-Hafriya,NA,NA,NA,221,NA,NA,9224,NA,NA,9445,1420,C8338
A'zaz,Aghtrin,Kaeebeh,NA,2,NA,1526,557,NA,7227,NA,NA,9312,2951,C1609
Jisr-Ash-Shugur,Janudiyeh,Yaqubiyeh,NA,NA,2200,NA,NA,NA,7031,NA,NA,9231,2706,C4256
Al Bab,A'rima,Barshaya,NA,NA,1624,1046,NA,NA,6478,NA,NA,9148,1480,C1346
Afrin,Sharan,Mashaala,3830,4,948,NA,NA,NA,4319,NA,NA,9101,3190,C1520
Al Bab,Al Bab,Borj (Al Bab),NA,NA,1640,NA,NA,NA,7388,NA,NA,9028,2390,C1192
A'zaz,Aghtrin,Sandara,NA,NA,2685,190,NA,NA,6115,NA,NA,8990,1705,C1588
Jisr-Ash-Shugur,Badama,Badama,NA,6,8080,NA,NA,NA,868,NA,NA,8954,3917,C4226
Al Bab,Al Bab,Hazwan,NA,NA,8855,NA,NA,NA,NA,NA,NA,8855,1609,C1191
A'zaz,Suran,Kafr Barja,NA,14,85,NA,NA,NA,8747,NA,NA,8846,7319,C1671
Al Bab,Al Bab,Aabad (Al Bab),NA,7,8775,NA,NA,NA,NA,NA,NA,8782,400,C1194
Afrin,Ma'btali,Abraz,NA,NA,3852,236,NA,NA,4671,NA,NA,8759,1419,C1547
Jisr-Ash-Shugur,Darkosh,Thahr,NA,5,5581,2141,NA,NA,870,NA,NA,8597,2872,C4247
Afrin,Sharan,Kafr Janna,1269,NA,299,NA,NA,NA,7017,NA,NA,8585,3734,C1518
A'zaz,A'zaz,Niddeh,NA,NA,3750,18,78,NA,4624,NA,NA,8470,633,C1572
Harim,Qourqeena,Torlaha,1196,2,NA,2562,NA,NA,4374,NA,NA,8134,7255,C4170
Harim,Dana,Sarjableh,NA,0,7825,NA,NA,NA,NA,NA,NA,7825,1257,C7427
Al Bab,A'rima,Jeb Eldam Elbab,NA,NA,4874,NA,NA,11,2852,NA,NA,7737,2458,C1333
Ariha,Mhambal,Beftamun,NA,4,743,346,NA,NA,6595,NA,NA,7688,1487,C4321
Al Bab,Al Bab,Hadath (Al Bab),NA,NA,399,124,1,NA,7119,NA,NA,7643,3623,C1198
Idleb,Idleb,Kafruhin,355,31,1992,1337,25,NA,3748,NA,NA,7488,4256,C3879
A'zaz,Suran,Rael,NA,NA,7060,160,28,NA,NA,NA,NA,7248,7816,C1665
Jisr-Ash-Shugur,Janudiyeh,Jdidet Eljisr,1326,NA,650,2924,NA,NA,2184,NA,NA,7084,2453,C4265
Harim,Salqin,Little Hir Jamus,NA,NA,1044,4467,267,NA,946,NA,NA,6724,744,C4139
Harim,Harim,Ariba,1204,0,NA,NA,171,NA,5315,NA,NA,6690,3359,C4114
Jebel Saman,Atareb,Sahara,3684,20,2075,874,NA,NA,NA,NA,NA,6653,10770,C1023
Harim,Dana,Burj Elnumra,NA,15,265,5823,482,NA,NA,NA,NA,6585,14361,C4128
Jarablus,Jarablus,Dulaym,NA,NA,6426,NA,NA,NA,NA,NA,NA,6426,494,C7593
Harim,Salqin,Hamziyeh,1870,0,3740,355,156,NA,298,NA,NA,6419,3433,C4134
Jarablus,Jarablus,Upper Um Rotha,NA,NA,4590,NA,NA,385,1280,NA,NA,6255,987,C2225
Afrin,Jandairis,Western Eshkab,825,NA,1575,122,22,NA,3642,NA,NA,6186,1904,C1437
Al Bab,Al Bab,Qubbet Elsheikh,NA,NA,6152,NA,NA,NA,NA,NA,NA,6152,411,C1214
Harim,Dana,Kafr Kafaldin,NA,2,2090,3993,NA,NA,NA,NA,NA,6085,15577,C8092
Harim,Qourqeena,Qalb Lozeh,NA,NA,NA,5076,NA,NA,1008,NA,NA,6084,3604,C4173
Idleb,Maaret Tamsrin,Murin,348,31,2598,72,8,NA,2955,NA,NA,6012,4016,C3946
Jisr-Ash-Shugur,Darkosh,Zanbaqi,292,14,1385,1118,NA,1379,1756,NA,NA,5944,1564,C4253
Harim,Dana,Al Kufir,NA,NA,NA,1010,NA,NA,4804,NA,NA,5814,4797,C7407
Ariha,Mhambal,Bsanqul,NA,2,4350,677,NA,NA,500,NA,NA,5529,2025,C4322
Al Bab,Al Bab,Shdud,NA,NA,3625,NA,NA,NA,1899,NA,NA,5524,2501,C1206
Jarablus,Jarablus,Ayn Al Bayda,NA,0,4910,160,NA,NA,450,NA,NA,5520,617,C7629
Jarablus,Jarablus,Halawaniyeh,NA,0,2828,46,NA,NA,2601,NA,NA,5475,872,C2219
Jarablus,Jarablus,Lower Jrables,NA,NA,5469,NA,NA,NA,NA,NA,NA,5469,3280,C2226
A'zaz,Suran,Kafr Ghan,NA,0,4910,497,16,NA,NA,NA,NA,5423,4881,C6781
Harim,Kafr Takharim,Bayates,NA,NA,NA,NA,NA,NA,5416,NA,NA,5416,2545,C6695
Ariha,Mhambal,Hlul,NA,NA,461,443,NA,NA,4355,NA,NA,5259,1271,C4326
A'zaz,Aghtrin,Bhorta,NA,NA,NA,17,7,NA,5194,NA,NA,5218,2089,C1577
Jarablus,Jarablus,Jamel,NA,NA,4824,241,NA,NA,150,NA,NA,5215,2197,C2224
Harim,Salqin,Betiya,933,0,NA,12,NA,NA,4248,NA,NA,5193,1484,C4147
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Eastern Marj Akhdar,NA,12,436,4707,NA,34,NA,NA,NA,5189,9858,C4215
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Western Marj Akhdar,NA,9,358,4251,NA,NA,500,NA,NA,5118,10117,C4212
Harim,Armanaz,Hafasraja,NA,47,345,1004,284,NA,3384,NA,NA,5064,8115,C4178
Ariha,Ehsem,Joseph,NA,6,4330,659,18,NA,NA,NA,NA,5013,2152,C4303
Harim,Salqin,Shyukh,NA,NA,NA,NA,NA,NA,4947,NA,NA,4947,1496,C6364
Ariha,Ariha,Mseibin,NA,5,4088,174,278,NA,310,NA,NA,4855,1771,C4281
Afrin,Jandairis,Upper Maskeh,650,NA,2045,158,NA,NA,2000,NA,NA,4853,962,C1444
Ariha,Ehsem,Balyun,NA,3,4475,372,NA,NA,NA,NA,NA,4850,2153,C4302
Jarablus,Jarablus,Tal Elamara,NA,NA,3456,NA,NA,NA,1370,NA,NA,4826,1582,C2213
Afrin,Jandairis,Ramadiyeh (Jandairis),880,NA,1565,102,NA,NA,2223,NA,NA,4770,907,C1422
Afrin,Jandairis,Bayada - Jendris,NA,NA,3516,0,NA,NA,1086,NA,NA,4602,537,C1434
Afrin,Jandairis,Tatara-Tataranli,NA,NA,1745,0,200,NA,2636,NA,NA,4581,763,C6398
Jarablus,Jarablus,Treikhem,NA,NA,2190,NA,NA,NA,2385,NA,NA,4575,795,C2222
Al Bab,A'rima,Jeb Naassan,NA,NA,4540,NA,NA,NA,NA,NA,NA,4540,1499,C1337
Ariha,Ehsem,Ablin,NA,4,3635,770,NA,NA,NA,NA,NA,4409,2219,C4292
A'zaz,A'zaz,Kafr Kalbein,NA,NA,3405,150,154,NA,636,NA,NA,4345,5496,C1568
Afrin,Sharan,Tal Elosud,2110,NA,NA,NA,NA,NA,2225,NA,NA,4335,2257,C1498
Ariha,Ehsem,Bsames,NA,6,3035,1270,10,NA,NA,NA,NA,4321,3814,C4297
Afrin,Jandairis,Haj Eskandar,NA,NA,2975,40,NA,NA,1302,NA,NA,4317,677,C1420
Harim,Qourqeena,Dier Seeta,NA,NA,NA,NA,NA,NA,4308,NA,NA,4308,1466,C6696
Al Bab,A'rima,Shuwayhah,NA,NA,NA,NA,NA,NA,4266,NA,NA,4266,1270,C7509
Afrin,Afrin,Hawa (Afrin),795,NA,NA,NA,159,NA,3303,NA,NA,4257,1121,C1362
Jarablus,Ghandorah,Sweida - Qorret Tashli,NA,0,4152,NA,NA,NA,NA,NA,NA,4152,2331,C2259
Harim,Salqin,Msheirfeh (Salqin),3876,0,216,NA,NA,NA,NA,NA,NA,4092,1314,C6620
Jarablus,Ghandorah,Al Tafiliyah,NA,NA,1174,NA,NA,NA,2906,NA,NA,4080,1745,C7598
Ariha,Ehsem,Kafr Haya,NA,2,2888,1058,75,NA,NA,NA,NA,4023,1958,C4306
Afrin,Jandairis,Dakhm,455,2,2601,162,NA,NA,798,NA,NA,4018,1712,C1423
Jarablus,Jarablus,Hjeileh - Jrables,NA,NA,1568,NA,NA,NA,2430,NA,NA,3998,810,C2215
Ariha,Ariha,Kafr Najd,NA,3,3733,254,NA,NA,NA,NA,NA,3990,3948,C6608
Jebel Saman,Daret Azza,Tqad,1435,36,1910,NA,NA,NA,575,NA,NA,3956,1450,C1143
Al Bab,A'rima,Shweiha,NA,NA,3933,NA,NA,NA,NA,NA,NA,3933,1907,C1344
Idleb,Maaret Tamsrin,Beeret Kaftin,288,NA,429,472,NA,NA,2727,NA,NA,3916,1706,C6633
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ein Elhamra,NA,NA,3513,394,NA,NA,NA,NA,NA,3907,3665,C4202
Ariha,Ariha,Kafrlata,NA,10,3333,22,32,NA,446,NA,NA,3843,5736,C4283
Jarablus,Ghandorah,Tal Elhajar - Tal Elahamar,NA,NA,2218,1600,NA,NA,NA,NA,NA,3818,850,C2244
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Upper Shghur,NA,NA,1215,345,NA,NA,2200,NA,NA,3760,3422,C4197
Afrin,Jandairis,Ras Elosud - Qarablish,NA,NA,1220,110,NA,NA,2400,NA,NA,3730,1025,C1429
Idleb,Maaret Tamsrin,Boayba,NA,NA,210,95,NA,NA,3416,NA,NA,3721,2275,C6732
Afrin,Ma'btali,Amiriya - Meirkan,NA,NA,3543,174,NA,NA,NA,NA,NA,3717,1685,C1543
Al Bab,Al Bab,Abu Zendin,NA,NA,3697,NA,NA,NA,NA,NA,NA,3697,674,C8126
Idleb,Idleb,Deir Al-Zaghab,NA,NA,NA,1630,NA,NA,2058,NA,NA,3688,645,C8014
A'zaz,Mare',Kafr Elward,NA,NA,NA,NA,NA,NA,3525,NA,NA,3525,1175,C1642
Jisr-Ash-Shugur,Darkosh,Jamiliya (Darkosh),258,5,290,292,462,291,1922,NA,NA,3520,1236,C4241
Jarablus,Ghandorah,Qadi Jrables,NA,NA,1516,NA,NA,NA,1989,NA,NA,3505,868,C2254
Al Bab,A'rima,Jurneyyeh (A'rima),NA,NA,3480,NA,NA,NA,NA,NA,NA,3480,1059,C1327
Afrin,Afrin,Sheikh Eldeir,150,NA,5,NA,NA,NA,3296,NA,NA,3451,2612,C1359
Ariha,Ariha,Kafr Shalaya,NA,2,3235,190,22,NA,NA,NA,NA,3449,1565,C4289
Jarablus,Ghandorah,Ghanameh,NA,NA,3444,NA,NA,NA,NA,NA,NA,3444,1296,C2266
Jisr-Ash-Shugur,Badama,Ramliyeh,11,NA,2632,33,NA,371,379,NA,NA,3426,1840,C4234
Al Bab,Al Bab,Dana (Al Bab),NA,2,3410,NA,NA,NA,NA,NA,NA,3412,596,C8154
Harim,Salqin,Jeser Maksour,NA,NA,NA,NA,NA,NA,3312,NA,NA,3312,1262,C6618
Harim,Armanaz,Baliya,NA,5,829,3,NA,NA,2424,NA,NA,3261,3222,C4181
Al Bab,A'rima,Jeb El-barazi,NA,NA,3260,NA,NA,NA,NA,NA,NA,3260,1170,C8169
Afrin,Sharan,Doha (Sharan),900,NA,NA,NA,NA,19,2309,NA,NA,3228,1904,C1515
