admin1pcode,admin2pcode,admin3pcode,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,total_pop,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,eq_score
SY02,SY0203,SY020300,C1378,365,1650,4,5353,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1381,717,2901,4,899,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1382,23,38,2,472,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1386,361,1490,2,11288,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1388,125,125,1,1547,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1389,1805,1805,1,364,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1390,2796,2796,1,1560,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1391,21522,55308,3,7998,0,0,20,250.06251562890722,0.003987065125954636
SY02,SY0203,SY020301,C1392,585,897,2,720,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1393,45,45,1,446,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1394,535,1010,2,1506,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1395,295,405,2,1383,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1396,350,350,1,423,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1397,165,345,2,437,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1398,445,514,3,480,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1399,65,160,3,1106,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1400,190,195,2,520,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1401,395,470,2,1270,0,0,10,787.4015748031496,0.0064252196851625545
SY02,SY0203,SY020301,C1402,85,175,2,190,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1403,275,340,2,726,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1404,345,522,3,863,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1405,23,61,2,371,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1406,505,580,2,1264,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1407,85,190,2,382,0,0,10,2617.801047120419,0.018671779595638628
SY02,SY0203,SY020301,C1408,100,215,2,251,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1409,155,155,1,290,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1410,70,160,1,1068,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1411,65,70,2,281,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1412,245,305,2,1047,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1413,480,685,2,1196,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1414,355,480,2,1366,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1415,95,250,2,483,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1416,785,920,2,2377,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1417,180,195,2,384,NA,NA,NA,NA,NA
SY02,SY0203,SY020301,C1418,295,390,2,1076,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1419,750,1165,2,386,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1420,1000,4317,3,677,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1421,635,2429,4,527,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1422,990,4770,4,907,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1423,1380,4018,5,1712,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1424,2000,26934,4,13499,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1425,1050,1050,1,865,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1426,44000,818972,7,45702,1930,4223.00993391974,1388,3037.0662115443524,0.40835983866965375
SY02,SY0203,SY020302,C1427,1750,9876,5,810,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1428,1050,2600,4,380,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1429,1200,3730,3,1025,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1430,401,727,3,383,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1431,1078,2461,3,610,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1432,156,175,2,200,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1433,5000,12068,5,959,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1434,2590,4602,3,537,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1435,3738,23264,5,6916,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1436,836,2649,4,836,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1437,1214,6186,5,1904,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1438,305,1472,4,343,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1439,574,1593,2,704,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1441,255,255,1,1595,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1442,8,8,1,466,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1444,1460,4853,4,962,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1445,313,906,4,330,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1446,2800,2953,2,4172,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1447,630,2508,4,1497,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1448,105,105,1,912,NA,NA,NA,NA,NA
SY02,SY0203,SY020302,C1449,21560,54970,4,5186,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1451,250,250,1,334,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1452,796,1377,3,1815,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1453,1,2,1,834,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1454,207,207,1,309,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1455,1,2,1,1222,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1456,305,305,1,0,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1457,1133,1135,2,1492,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1458,79,79,1,280,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1460,764,764,1,422,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1461,362,362,1,1000,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1464,210,210,1,377,0,0,10,2652.5198938992044,0.018904071203852846
SY02,SY0203,SY020303,C1465,2,2,1,1129,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1467,8,16,1,357,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1468,543,543,1,606,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1469,802,802,1,1926,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1473,87,345,1,5160,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1476,1,2,1,826,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1478,1,2,1,1396,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1480,5,5,1,47,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1481,528,530,2,792,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1484,9462,32541,5,8482,5,58.948361235557655,18,212.21410044800754,0.004416656023384322
SY02,SY0203,SY020303,C1487,752,752,1,1352,NA,NA,NA,NA,NA
SY02,SY0203,SY020303,C1491,809,1215,3,1728,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1493,125,131,2,1354,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1494,350,362,1,3471,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1495,47,47,1,253,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1496,69,69,1,136,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1497,18889,85318,5,5668,0,0,15,264.6436132674665,0.0035061259602535764
SY02,SY0203,SY020304,C1498,525,4335,2,2257,0,0,30,1329.198050509526,0.012364174261503727
SY02,SY0203,SY020304,C1499,660,909,3,327,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1500,160,160,1,571,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1501,183,204,2,1110,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1502,1,1,1,2433,0,0,40,1644.0608302507192,0.01562780285615741
SY02,SY0203,SY020304,C1504,155,295,1,725,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1505,510,1760,2,4053,0,0,24,592.1539600296077,0.006738675749543753
SY02,SY0203,SY020304,C1506,405,434,2,1980,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1507,210,210,1,694,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1508,1340,1381,2,1388,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1510,245,258,2,756,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1511,195,197,2,679,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1512,182,182,1,746,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1514,250,390,1,206,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1515,897,3228,3,1904,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1517,680,805,2,515,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1518,2109,8585,3,3734,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1519,221,566,1,1037,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1520,1236,9101,4,3190,0,0,31,971.7868338557994,0.010088560591242236
SY02,SY0203,SY020304,C1521,1730,22075,3,2558,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1522,525,615,2,1000,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1523,990,1040,2,837,NA,NA,NA,NA,NA
SY02,SY0203,SY020304,C1524,2365,40923,7,5230,NA,NA,NA,NA,NA
SY02,SY0203,SY020305,C1525,3000,13640,1,3740,28,748.663101604278,400,10695.1871657754,0.12579030762653096
SY02,SY0203,SY020305,C1526,115,115,1,755,NA,NA,NA,NA,NA
SY02,SY0203,SY020305,C1527,135,135,1,1019,6,588.8125613346418,42,4121.687929342493,0.03704012139519363
SY02,SY0203,SY020305,C1528,165,165,1,961,18,1873.0489073881372,49,5098.855359001041,0.05431754223431302
SY02,SY0203,SY020305,C1529,155,155,1,1113,6,539.0835579514825,80,7187.780772686433,0.06161421943648295
SY02,SY0203,SY020305,C1530,145,145,1,1182,30,2538.0710659898477,40,3384.09475465313,0.047541477336402044
SY02,SY0203,SY020305,C1531,65,65,1,344,NA,NA,NA,NA,NA
SY02,SY0203,SY020305,C1532,50,50,1,461,NA,NA,NA,NA,NA
SY02,SY0203,SY020305,C1533,35,35,1,495,0,0,42,8484.848484848486,0.061628508577867135
SY02,SY0203,SY020305,C1534,25,25,1,244,0,0,20,8196.721311475409,0.057155367730544304
SY02,SY0203,SY020306,C1535,655,1722,2,625,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1537,8,8,1,351,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1538,250,680,1,1032,4,387.5968992248062,11,1065.891472868217,0.01144004983146944
SY02,SY0203,SY020306,C1541,109,109,1,405,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1542,800,1609,1,1404,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1543,2345,3717,2,1685,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1544,693,709,2,1055,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1545,119,119,1,520,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1547,1661,8759,3,1419,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1548,1250,3134,2,1327,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1549,267,267,1,570,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1550,275,514,2,471,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1551,400,800,1,793,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1552,3321,31680,6,4658,6,128.81064834693,59,1266.6380420781452,0.016791050958364126
SY02,SY0203,SY020306,C1553,176,176,1,624,NA,NA,NA,NA,NA
SY02,SY0203,SY020306,C1555,600,1681,2,704,3,426.1363636363636,55,7812.5,0.061827845368541315
SY02,SY0204,SY020400,C1556,460,545,3,614,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1557,24991,111072,7,23834,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1558,3874,13115,4,5938,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1559,3064,49224,5,2599,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1560,124,157,1,350,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1561,9453,168229,8,43263,0,0,0,0,0
SY02,SY0204,SY020400,C1562,92,114,1,1413,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1564,151000,727418,8,116540,163,139.86614038098506,83,71.22018191178995,0.02782150047720691
SY02,SY0204,SY020400,C1565,20,32,1,703,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1566,8325,146398,7,56073,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1568,1745,4345,4,5496,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1571,982,1217,3,982,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1572,1250,8470,4,633,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1573,2928,12836,4,4641,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1574,8083,32315,5,7214,NA,NA,NA,NA,NA
SY02,SY0204,SY020400,C1575,13000,26515,5,13000,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1576,824,1252,2,824,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1577,1650,5218,3,2089,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1578,128,651,1,1500,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1579,1500,2227,4,7782,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1581,18778,69348,6,16500,10,60.60606060606061,6,36.36363636363636,0.002378122323383799
SY02,SY0204,SY020401,C1582,1952,9847,3,1967,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1583,275,384,2,840,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1584,15,17,2,1046,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1585,29,120,1,2115,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1586,20,20,1,358,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1588,2030,8990,3,1705,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1591,2843,13569,5,3885,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1592,130,287,2,1579,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1593,172,172,1,453,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1594,35,70,1,1760,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1595,1874,2081,4,1904,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1597,7316,21110,5,8502,14,164.66713714420135,17,199.95295224653023,0.005861889135753627
SY02,SY0204,SY020401,C1599,145,320,2,1119,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1600,757,2087,2,757,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1601,9,9,1,1020,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1602,1,2,1,2614,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1603,150,506,3,3637,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1604,19,38,1,752,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1605,6697,34598,6,8282,3,36.223134508572805,2,24.14875633904854,9.472828531670683e-4
SY02,SY0204,SY020401,C1606,1,2,1,1330,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1607,155,360,1,1518,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1608,90,527,1,977,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1609,1621,9312,4,2951,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1610,135,268,3,1741,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1612,572,572,1,712,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1613,50,58,2,713,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1614,1,1,1,3800,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1615,715,2267,4,1353,NA,NA,NA,NA,NA
SY02,SY0204,SY020401,C1616,120,395,2,1159,NA,NA,NA,NA,NA
SY02,SY0204,SY020403,C1629,86,112,1,1386,NA,NA,NA,NA,NA
SY02,SY0204,SY020403,C1632,12375,38348,3,5200,NA,NA,NA,NA,NA
SY02,SY0204,SY020403,C1636,309,399,1,1104,NA,NA,NA,NA,NA
SY02,SY0204,SY020403,C1642,1175,3525,1,1175,NA,NA,NA,NA,NA
SY02,SY0204,SY020403,C1643,34116,151704,7,36651,37,100.95222504160868,5,13.642192573190364,0.0051655347907580106
SY02,SY0204,SY020405,C1658,2570,12510,4,5444,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1659,2386,2531,1,5890,6,101.86757215619694,8,135.82342954159594,0.00314212499086519
SY02,SY0204,SY020405,C1660,803,1498,2,1925,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1661,957,1007,1,1608,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1663,308,806,4,3331,5,150.10507355148604,20,600.4202942059442,0.007862459138707586
SY02,SY0204,SY020405,C1664,21041,70057,7,21121,71,336.1583258368449,73,345.62757445196723,0.02034971450298036
SY02,SY0204,SY020405,C1665,2000,7248,3,7816,18,230.29682702149435,15,191.91402251791197,0.006433113823627331
SY02,SY0204,SY020405,C1666,250,300,1,397,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1667,30650,234518,6,15033,14,93.12845074170158,25,166.3008048958957,0.006078072278958439
SY02,SY0204,SY020405,C1668,1000,1270,1,1414,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1669,2500,19431,1,5581,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1670,919,974,1,2145,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1671,4066,8846,3,7319,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1672,18840,84836,4,6761,NA,NA,NA,NA,NA
SY02,SY0204,SY020405,C1673,20,20,1,288,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2213,3106,4826,2,1582,0,0,6,379.2667509481669,0.00323173600849982
SY02,SY0208,SY020800,C2214,1304,1829,1,1368,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2215,1568,3998,2,810,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2216,509,1707,3,467,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2217,1910,3138,2,992,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2219,2388,5475,4,872,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2220,7310,31319,5,11446,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2221,1432,1432,1,1056,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2222,2190,4575,2,795,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2224,4524,5215,3,2197,0,0,16,728.2658170232135,0.006723758504064895
SY02,SY0208,SY020800,C2225,4590,6255,3,987,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2226,4694,5469,1,3280,0,0,6,182.9268292682927,0.00191809456026082
SY02,SY0208,SY020800,C2227,51922,362037,8,38311,40,104.40865547753909,205,535.0943593223878,0.032126745632526744
SY02,SY0208,SY020800,C2228,5,10,1,238,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2229,1600,1600,1,1425,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2230,1584,1584,1,1033,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2231,1502,2294,2,285,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2232,2000,2000,1,1106,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2235,3148,3148,1,1488,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2236,2350,2350,1,1150,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2237,2520,2520,1,1891,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2238,8726,22069,6,4050,0,0,20,493.82716049382714,0.005618008738287977
SY02,SY0208,SY020800,C2239,1106,1106,1,554,NA,NA,NA,NA,NA
SY02,SY0208,SY020800,C2240,1954,1954,2,1122,0,0,3,267.379679144385,0.0021360412124026814
SY02,SY0208,SY020800,C2241,1768,1768,1,922,NA,NA,NA,NA,NA
