admin4pcode,zone,aoc_rosc
C4228,M4 and sorrounding area,Non-state armed groups
C4229,M4 and sorrounding area,Non-state armed groups
C4230,M4 and sorrounding area,Non-state armed groups
C4232,M4 and sorrounding area,Non-state armed groups
C4233,M4 and sorrounding area,Non-state armed groups
C4235,M4 and sorrounding area,Non-state armed groups
C6698,M4 and sorrounding area,Non-state armed groups
C7247,M4 and sorrounding area,Non-state armed groups
C7255,M4 and sorrounding area,Non-state armed groups
C7959,M4 and sorrounding area,Non-state armed groups
C7968,M4 and sorrounding area,Non-state armed groups
C8395,M4 and sorrounding area,Non-state armed groups
C8396,M4 and sorrounding area,Non-state armed groups
C8398,M4 and sorrounding area,Non-state armed groups
C8401,M4 and sorrounding area,Non-state armed groups
C4268,M4 and sorrounding area,Non-state armed groups
C4275,M4 and sorrounding area,Non-state armed groups
C4278,M4 and sorrounding area,Non-state armed groups
C4279,M4 and sorrounding area,Non-state armed groups
C4285,M4 and sorrounding area,Non-state armed groups
C4287,M4 and sorrounding area,Non-state armed groups
C4269,M4 and sorrounding area,Non-state armed groups
C4270,M4 and sorrounding area,Non-state armed groups
C4273,M4 and sorrounding area,Non-state armed groups
C4274,M4 and sorrounding area,Non-state armed groups
C4277,M4 and sorrounding area,Non-state armed groups
C4280,M4 and sorrounding area,Non-state armed groups
C4281,M4 and sorrounding area,Non-state armed groups
C4282,M4 and sorrounding area,Non-state armed groups
C4283,M4 and sorrounding area,Non-state armed groups
C4284,M4 and sorrounding area,Non-state armed groups
C4286,M4 and sorrounding area,Non-state armed groups
C4289,M4 and sorrounding area,Non-state armed groups
C4290,M4 and sorrounding area,Non-state armed groups
C6608,M4 and sorrounding area,Non-state armed groups
C6609,M4 and sorrounding area,Non-state armed groups
C6610,M4 and sorrounding area,Non-state armed groups
C6611,M4 and sorrounding area,Non-state armed groups
C6712,M4 and sorrounding area,Non-state armed groups
C6715,M4 and sorrounding area,Non-state armed groups
C7249,M4 and sorrounding area,Non-state armed groups
C7266,M4 and sorrounding area,Non-state armed groups
C7958,M4 and sorrounding area,Non-state armed groups
C8380,M4 and sorrounding area,Non-state armed groups
C8381,M4 and sorrounding area,Non-state armed groups
C8382,M4 and sorrounding area,Non-state armed groups
C4293,M4 and sorrounding area,Non-state armed groups
C4295,M4 and sorrounding area,Non-state armed groups
C4300,M4 and sorrounding area,Non-state armed groups
C4303,M4 and sorrounding area,Non-state armed groups
C4304,M4 and sorrounding area,Non-state armed groups
C4305,M4 and sorrounding area,Non-state armed groups
C4308,M4 and sorrounding area,Non-state armed groups
C4291,M4 and sorrounding area,Non-state armed groups
C4292,M4 and sorrounding area,Non-state armed groups
C4294,M4 and sorrounding area,Non-state armed groups
C4296,M4 and sorrounding area,Non-state armed groups
C4297,M4 and sorrounding area,Non-state armed groups
C4298,M4 and sorrounding area,Non-state armed groups
C4299,M4 and sorrounding area,Non-state armed groups
C4301,M4 and sorrounding area,Non-state armed groups
C4302,M4 and sorrounding area,Non-state armed groups
C4306,M4 and sorrounding area,Non-state armed groups
C4307,M4 and sorrounding area,Non-state armed groups
C4309,M4 and sorrounding area,Non-state armed groups
C4330,M4 and sorrounding area,Non-state armed groups
C4310,M4 and sorrounding area,Non-state armed groups
C4311,M4 and sorrounding area,Non-state armed groups
C4314,M4 and sorrounding area,Non-state armed groups
C4315,M4 and sorrounding area,Non-state armed groups
C4316,M4 and sorrounding area,Non-state armed groups
C4317,M4 and sorrounding area,Non-state armed groups
C4319,M4 and sorrounding area,Non-state armed groups
C4320,M4 and sorrounding area,Non-state armed groups
C4321,M4 and sorrounding area,Non-state armed groups
C4322,M4 and sorrounding area,Non-state armed groups
C4323,M4 and sorrounding area,Non-state armed groups
C4324,M4 and sorrounding area,Non-state armed groups
C4327,M4 and sorrounding area,Non-state armed groups
C4328,M4 and sorrounding area,Non-state armed groups
C4329,M4 and sorrounding area,Non-state armed groups
C6365,M4 and sorrounding area,Non-state armed groups
C6612,M4 and sorrounding area,Non-state armed groups
C6613,M4 and sorrounding area,Non-state armed groups
C6614,M4 and sorrounding area,Non-state armed groups
C6615,M4 and sorrounding area,Non-state armed groups
C7259,M4 and sorrounding area,Non-state armed groups
C8383,M4 and sorrounding area,Non-state armed groups
C8384,M4 and sorrounding area,Non-state armed groups
C5793,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5799,Ain Al Arab to TA-RAA area,Contested Areas
C5802,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5803,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5807,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5809,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5810,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5813,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5814,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5818,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5824,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5825,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5827,Ain Al Arab to TA-RAA area,Syrian democratic forces
C6512,Ain Al Arab to TA-RAA area,Syrian democratic forces
C6783,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7105,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7106,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7107,Ain Al Arab to TA-RAA area,Syrian democratic forces
C8693,Ain Al Arab to TA-RAA area,Contested Areas
C5896,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5910,Ain Al Arab to TA-RAA area,Syrian democratic forces
C5918,Ain Al Arab to TA-RAA area,Contested Areas
C6503,Ain Al Arab to TA-RAA area,Syrian democratic forces
C6505,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7014,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7016,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7021,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7024,Ain Al Arab to TA-RAA area,Contested Areas
C7042,Ain Al Arab to TA-RAA area,Contested Areas
C7043,Ain Al Arab to TA-RAA area,Contested Areas
C7045,Ain Al Arab to TA-RAA area,Syrian democratic forces
C7050,Ain Al Arab to TA-RAA area,Contested Areas
C7058,Ain Al Arab to TA-RAA area,Contested Areas
C8335,Ain Al Arab to TA-RAA area,Syrian democratic forces
C8700,Ain Al Arab to TA-RAA area,Syrian democratic forces
