admin1pcode,governorate,admin2pcode,district,admin3pcode,sub_district,admin4pcode,community,is_2022,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cumulative,activity,cluster
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7342,Al Mughir,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7355,Zuhrat Madain,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7356,Ayn al Asafeer,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7357,Khirbet Khirs,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7358,Abu shu'aylam,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7368,Al Aziza,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7369,Al Rahsidin,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7401,Ard al Hamra,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7406,Al Jazira,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7414,Talat al Ghali,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7444,Handarat,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7452,Jbeileh (Jebel Saman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C7455,Babinnis,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8047,Sabiqiyah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
